City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Nadvoitsy,RU,63.87,34.32,56.05,90,0,7.31,clear sky
288,Kushima,JP,31.46,131.23,78.8,88,75,8.05,broken clouds
289,Beisfjord,NO,68.38,17.6,51.8,81,90,29.97,overcast clouds
290,Camana,PE,-16.62,-72.71,60.24,74,66,3.36,broken clouds
291,Patrocinio,BR,-18.94,-46.99,66.2,63,40,8.05,scattered clouds
292,Matagami,CA,49.75,-77.63,68.0,45,1,5.82,clear sky
293,Fortuna,US,40.6,-124.16,66.99,72,20,14.99,few clouds
294,Porangatu,BR,-13.44,-49.15,85.73,33,80,5.68,broken clouds
295,Coihaique,CL,-45.58,-72.07,39.2,80,90,3.36,overcast clouds
296,Kalabo,ZM,-14.97,22.68,63.39,34,0,5.77,clear sky
297,Ambon,ID,-3.7,128.18,75.99,94,40,5.82,scattered clouds
298,Barroquinha,BR,-3.02,-41.14,77.63,72,6,9.04,clear sky
299,Maragogi,BR,-9.01,-35.22,73.51,80,88,5.95,overcast clouds
300,Fairbanks,US,64.84,-147.72,66.2,63,90,4.7,overcast clouds
301,Maldonado,UY,-34.67,-54.92,63.0,55,0,3.36,clear sky
302,Bogorodskoye,RU,56.55,37.88,62.08,75,100,8.66,overcast clouds
303,Smidovich,RU,48.6,133.82,63.16,91,72,7.38,broken clouds
304,Harrisburg,US,40.27,-76.88,89.6,46,75,3.36,moderate rain
305,Braco Do Norte,BR,-28.27,-49.17,54.59,92,26,2.26,scattered clouds
306,Longyearbyen,SJ,78.22,15.64,40.8,69,3,6.29,clear sky
307,Pacific Grove,US,36.62,-121.92,80.01,68,40,5.82,smoke
308,Dandong,CN,40.13,124.39,68.13,88,100,6.71,overcast clouds
309,Ozinki,RU,51.18,49.68,58.82,73,17,6.67,few clouds
310,Arona,ES,28.1,-16.68,78.01,78,0,3.36,clear sky
311,Bayanday,RU,53.07,105.51,52.27,95,100,6.24,overcast clouds
312,Gushi,CN,34.64,109.58,69.04,85,89,8.19,overcast clouds
313,Sao Sebastiao,BR,-23.76,-45.41,61.43,74,18,3.4,few clouds
314,Vanderhoof,CA,54.02,-124.02,65.34,39,83,4.18,broken clouds
315,Portobelo,PA,9.55,-79.65,82.0,78,84,3.0,light rain
316,Kaa-Khem,RU,51.68,94.73,51.19,65,92,1.39,overcast clouds
317,Puerto Escondido,MX,15.85,-97.07,80.6,69,90,5.86,light rain
318,Namatanai,PG,-3.67,152.43,80.82,78,95,5.26,light rain
319,Christchurch,NZ,-43.53,172.63,53.01,93,85,5.82,light rain
320,Cabo San Lucas,MX,22.89,-109.91,91.4,52,40,6.93,scattered clouds
321,Nowy Tomysl,PL,52.32,16.13,64.0,82,20,4.7,few clouds
322,Minsk,BY,53.9,27.57,64.4,93,40,2.24,mist
323,San Cosme Y Damian,PY,-27.32,-56.35,71.6,46,0,11.41,clear sky
324,Barabai,ID,-2.58,115.38,70.39,69,0,1.52,clear sky
325,Magadan,RU,59.57,150.8,47.1,54,0,6.51,clear sky
326,Chateauroux,FR,46.82,1.7,64.4,59,63,5.82,broken clouds
327,Tessalit,ML,20.2,1.01,89.33,41,95,24.34,light rain
328,Zheleznodorozhnyy,RU,55.75,38.0,64.0,87,100,2.24,overcast clouds
329,Wasilla,US,61.58,-149.44,62.6,72,90,3.36,light rain
330,Ndioum,SN,16.51,-14.65,89.6,62,91,2.24,overcast clouds
331,Bushehr,IR,28.97,50.84,87.8,66,63,4.74,haze
332,Marathon,US,44.9,-89.77,84.2,54,1,6.93,clear sky
333,Nanchang,CN,28.68,115.88,82.09,75,0,4.34,clear sky
334,Sola,VU,-13.88,167.55,81.27,82,77,9.19,light rain
335,Newcastle,AU,-32.93,151.78,48.99,66,20,19.46,few clouds
336,Chabahar,IR,25.29,60.64,81.54,83,86,4.65,overcast clouds
337,Katobu,ID,-4.94,122.53,70.56,93,27,3.27,scattered clouds
338,Vestmannaeyjar,IS,63.44,-20.27,52.48,75,84,6.67,broken clouds
339,Hami,CN,42.8,93.45,77.54,22,63,3.13,broken clouds
340,Ahar,IR,38.48,47.07,54.66,74,99,4.47,overcast clouds
341,Gombe,NG,10.29,11.17,70.12,89,100,5.93,overcast clouds
342,Samarai,PG,-10.62,150.67,75.69,75,100,14.45,overcast clouds
343,Pemangkat,ID,1.17,108.97,75.87,93,100,5.03,overcast clouds
344,Salinopolis,BR,-0.61,-47.36,80.31,82,93,12.64,overcast clouds
345,Luganville,VU,-15.53,167.17,78.8,83,75,6.6,broken clouds
346,Deputatskiy,RU,69.3,139.9,31.57,98,100,3.44,overcast clouds
347,Talnakh,RU,69.49,88.4,57.2,82,100,11.18,overcast clouds
348,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,51.8,100,75,4.47,light intensity shower rain
349,Nerchinskiy Zavod,RU,51.31,119.61,56.26,95,94,2.48,overcast clouds
350,Funadhoo,MV,6.15,73.27,82.76,72,99,7.65,light rain
351,La Asuncion,VE,11.03,-63.86,84.2,70,55,10.29,light rain
352,Akdepe,TM,42.06,59.38,75.2,47,0,18.34,clear sky
353,San Ramon De La Nueva Oran,AR,-23.13,-64.33,75.0,24,1,3.11,clear sky
354,Umm Lajj,SA,25.02,37.27,83.05,59,0,1.5,clear sky
355,Wukari,NG,7.85,9.78,72.23,96,100,5.37,overcast clouds
356,Tsaratanana,MG,-16.78,47.65,63.75,61,65,9.33,broken clouds
357,Monterey,US,36.25,-121.25,91.0,57,1,12.75,haze
358,Kodinsk,RU,58.69,99.18,51.93,90,6,1.54,clear sky
359,Pangnirtung,CA,66.15,-65.71,44.6,87,75,5.82,fog
360,Banepa,NP,27.63,85.52,69.8,100,75,4.7,light rain
361,Lompoc,US,34.64,-120.46,75.0,73,20,9.17,few clouds
362,Mariestad,SE,58.71,13.82,57.2,82,4,11.41,clear sky
